Kode Wilayah;Mitra;ID RT;ID ART;Jenis Validasi;Perlakuan
1206030019000200;;52;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030019000200;;55;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030019000200;;58;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030019000200;;82;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030019000200;;83;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030019000200;;83;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030019000200;;113;3;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030020000100;;37;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030020000100;;51;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030020000100;;53;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030020000100;;94;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;34;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;35;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;45;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;64;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;125;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;125;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;135;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;136;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;147;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;152;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;159;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;160;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;161;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;174;3;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;175;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;193;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;194;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;197;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;199;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;200;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;204;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;207;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;210;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;217;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;218;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;223;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;223;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;225;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;225;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;226;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;226;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;228;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;230;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;230;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;232;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;237;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;244;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;247;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030021000100;;247;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;25;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;45;2;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;67;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
1206030023000200;;69;1;PNS tapi Tidak Punya Pensiunan;HARUS DIBUAT PUNYA PENSIUNAN
