"id";"k_wil";"nama_sls";"rt";"art";"validasi";"perlakuan";"cek";"catatan"
"28547";"1206030018000400";"LINGKUNGAN 4";"71";"2";"16 BUMN BANK BRI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28548";"1206030018000400";"LINGKUNGAN 4";"50";"3";"16 BUMN BNI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28549";"1206030018000400";"LINGKUNGAN 4";"158";"1";"16 KARYAWAN BUMN/BANK";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28550";"1206030019000200";"LINGKUNGAN 2";"106";"1";"16 PEGAWAI BANK";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28551";"1206030019000200";"LINGKUNGAN 2";"113";"3";"24 NOTARIS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28552";"1206030019000200";"LINGKUNGAN 2";"147";"1";"16 BANK SUMUT";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28553";"1206030020000100";"LINGKUNGAN 1";"51";"1";"24 KARYAWAN BUMN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"belum";NULL
"28554";"1206030020000200";"LINGKUNGAN 2";"1";"4";"16 KARYAWAN BANK SUMUT";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28555";"1206030020000200";"LINGKUNGAN 2";"38";"2";"16 KARYAWAN BUMD";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28556";"1206030020000400";"LINGKUNGAN 4";"3";"4";"14 KARYAWAN HOTEL";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28557";"1206030021000100";"LINGKUNGAN 1";"19";"1";"13 PEGAWAI BUMN PT POS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28558";"1206030021000100";"LINGKUNGAN 1";"136";"1";"6 PNS DINAS KEHUTANAN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28559";"1206030021000100";"LINGKUNGAN 1";"207";"1";"15 KARYAWAN TELKOM";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28560";"1206030021000100";"LINGKUNGAN 1";"221";"2";"19 BKPSDM";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28561";"1206030021000100";"LINGKUNGAN 1";"224";"1";"6 PNS";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28562";"1206030021000200";"LINGKUNGAN 2";"90";"3";"16 STAFF DI BANK MANDIRI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28563";"1206030021000200";"LINGKUNGAN 2";"151";"1";"13 STAFF DI BANDARA SILANGIT (PEMADAM)";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28564";"1206030021000200";"LINGKUNGAN 2";"171";"1";"16 STAFF DI BANK SUMUT";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28565";"1206030024000100";"DUSUN 1";"49";"1";"3 BERKEBUN JAGUNG";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28566";"1206030024000100";"DUSUN 1";"127";"2";"25 PNS GURU";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28567";"1206030028000200";"DUSUN 2";"39";"2";"5 MANGAJAR PNS GURU";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"belum";NULL
"28568";"1206030029000500";"DUSUN 5 RIANIATE";"2";"2";"1 PNS GURU SD N";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28569";"1206030031000100";"DUSUN 1";"113";"2";"24 PEGAWAI LINGKUNGAN HIDUP";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28570";"1206030031000100";"DUSUN 1";"124";"2";"16 KARYAWAN BUMN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28571";"1206030031000300";"DUSUN 3";"25";"1";"16 PEGAWAI BANK";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"belum";NULL
"28572";"1206030031000300";"DUSUN 3";"25";"2";"16 PEGAWAI BANK";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"belum";NULL
"28573";"1206030031000300";"DUSUN 3";"135";"1";"13 PEGAWAI BANDARA SILANGIT";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"belum";NULL
"28574";"1206030033000200";"LINGKUNGAN 3";"67";"1";"16 SUPIR BANK BRI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28575";"1206030033000200";"LINGKUNGAN 3";"67";"3";"16 PEGAWAI BANK BRI";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28576";"1206030033000200";"LINGKUNGAN 3";"97";"2";"16 PEGAWAI BUMN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28577";"1206030033000200";"LINGKUNGAN 3";"101";"2";"16 PEGAWAI BUMN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28578";"1206030033000200";"LINGKUNGAN 3";"102";"1";"16 PEGAWAI BUMN";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28579";"1206030034000400";"LINGKUNGAN 4";"63";"4";"24 KARYAWAN BANDARA SIBISA";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
"28580";"1206031006000100";"DUSUN 1";"44";"1";"18 KORAMIL BALIGE";"Cek kesesuaian kode Lapangan pekerjaan dengan deskripsi pekerjaan, jika tidak tepat perbaiki di dokumen dan di entrian";"sudah";NULL
