k_wil;k_kec;n_kec;k_desa;n_desa;k_sls;k_subsls;n_sls
1,21E+15;40;LAGUBOTI;10;UJUNG TANDUK;6;0;DUSUN PARIK PARSOPOAN
1,21E+15;40;LAGUBOTI;10;UJUNG TANDUK;7;0;DUSUN SITINJAK BARAPANGKO
1,21E+15;40;LAGUBOTI;11;PINTU BOSI;1;0;DUSUN PASAR MELINTANG
1,21E+15;40;LAGUBOTI;11;PINTU BOSI;2;0;DUSUN LUMBAN SARO
1,21E+15;40;LAGUBOTI;11;PINTU BOSI;3;0;DUSUN HUTA GINJANG SITABO TABO
1,21E+15;40;LAGUBOTI;11;PINTU BOSI;4;0;DUSUN SOSOR DOLOK
1,21E+15;40;LAGUBOTI;11;PINTU BOSI;5;0;DUSUN LUMBAN GALA GALA
1,21E+15;40;LAGUBOTI;12;GASA RIBU;1;0;DUSUN BARAT
1,21E+15;40;LAGUBOTI;12;GASA RIBU;2;0;DUSUN TIMUR
1,21E+15;40;LAGUBOTI;13;PASAR LAGU BOTI;1;0;LINGKUNGAN 1
1,21E+15;40;LAGUBOTI;13;PASAR LAGU BOTI;2;0;LINGKUNGAN 2
1,21E+15;40;LAGUBOTI;13;PASAR LAGU BOTI;3;0;LINGKUNGAN 3
1,21E+15;40;LAGUBOTI;13;PASAR LAGU BOTI;4;0;LINGKUNGAN 4
1,21E+15;40;LAGUBOTI;14;ARUAN;1;0;DUSUN PANGASEAN
1,21E+15;40;LAGUBOTI;14;ARUAN;2;0;DUSUN GOMPAR TAHAN
1,21E+15;40;LAGUBOTI;14;ARUAN;3;0;DUSUN GOMPARSIBASAR
1,21E+15;40;LAGUBOTI;15;LUMBAN BAGASAN;1;0;DUSUN 1 LUMBAN BAGASAN DOLOK
1,21E+15;40;LAGUBOTI;15;LUMBAN BAGASAN;2;0;DUSUN 2 LUMBAN BAGASAN TORUAN
1,21E+15;40;LAGUBOTI;16;TINGGIR NIPASIR;1;0;DUSUN GOMPAR SIGURNING
1,21E+15;40;LAGUBOTI;16;TINGGIR NIPASIR;2;0;DUSUN BANUA LUHU
1,21E+15;40;LAGUBOTI;17;OMPU RAJA HUTAPEA;1;0;DUSUN SIRAJA DEANG DOLOK
